17.7052 	INFO 	Loaded monitor calibration from ['2024_08_16 11:13']
17.7465 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
18.4425 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019EDFEEAF80>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019EDFEEAEF0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019EDFEEB940>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000019EEAD88280>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
18.4427 	EXP 	window1: backgroundImage = ''
18.4427 	EXP 	window1: backgroundFit = 'none'
18.4430 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000019EDFEEBF40>
18.4432 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000019EDFEEBF40>
18.4581 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000019EDFEEBF40>
18.4589 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000019EDFEEBF40>
18.5301 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000019EDFEEBF40>
18.5302 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000019EDFEEBF40>
18.5308 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000019EDFEEBF40>
18.5314 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000019EDFEEBF40>
18.5521 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
18.5521 	EXP 	window1: recordFrameIntervals = False
18.6849 	EXP 	window1: recordFrameIntervals = True
18.8689 	EXP 	Screen (0) actual frame rate measured at 60.06Hz
18.8691 	EXP 	window1: recordFrameIntervals = False
18.8693 	EXP 	window1: mouseVisible = True
22.5568 	INFO 	keyboard.Keyboard is using iohub backend.
22.5568 	EXP 	Priming_exp: status = STARTED
22.5571 	EXP 	window1: mouseVisible = True
