study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trial_2.thisRepN,trial_2.thisTrialN,trial_2.thisN,trial_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials_1.slider.response,trials_1.slider.rt,test_1.started,text_2.started,textbox.started,text_3.started,mouse.started,test_1.stopped,trial_2.textbox.text,trial_2.mouse.x,trial_2.mouse.y,trial_2.mouse.leftButton,trial_2.mouse.midButton,trial_2.mouse.rightButton,trial_2.mouse.time,trial_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
tiger,0,0,0,1,1.90087310000672,,,,,,,,,,0,0,0,1,,,,,0.03218219999689609,,0.014812400011578575,0.03218219999689609,0.03218219999689609,1.931761899992125,1,1.90087310000672,,,,,,,,,,,,,,,257120,001,2024-11-07_13h31.41.708,Priming_exp,2024.2.1post4,60.02883784966377,2024-11-07 13h31.48.329182 +0530,
piano,1,1,0,1,0.6117206999915652,,,,,,,,,,0,1,1,4,,,,,1.9474587999866344,,1.9373345999920275,1.9474587999866344,1.9474587999866344,2.5647613999899477,1,0.6117206999915652,,,,,,,,,,,,,,,257120,001,2024-11-07_13h31.41.708,Priming_exp,2024.2.1post4,60.02883784966377,2024-11-07 13h31.48.329182 +0530,
cushion,2,2,0,1,0.4628619000141043,,,,,,,,,,0,2,2,3,,,,,2.580579300003592,,2.5693720999988727,2.580579300003592,2.580579300003592,3.048117900005309,1,0.4628619000141043,,,,,,,,,,,,,,,257120,001,2024-11-07_13h31.41.708,Priming_exp,2024.2.1post4,60.02883784966377,2024-11-07 13h31.48.329182 +0530,
vase,3,3,0,1.9444444444444444,1.6103027999924961,,,,,,,,,,0,3,3,0,,,,,3.0637030999932904,,3.0532348999986425,3.0637030999932904,3.0637030999932904,4.680588299990632,1.9444444444444444,1.6103027999924961,,,,,,,,,,,,,,,257120,001,2024-11-07_13h31.41.708,Priming_exp,2024.2.1post4,60.02883784966377,2024-11-07 13h31.48.329182 +0530,
book,4,4,0,1,1.680236900021555,,,,,,,,,,0,4,4,2,,,,,4.695203300012508,,4.682744599995203,4.695203300012508,4.695203300012508,6.378238400007831,1,1.680236900021555,,,,,,,,,,,,,,,257120,001,2024-11-07_13h31.41.708,Priming_exp,2024.2.1post4,60.02883784966377,2024-11-07 13h31.48.329182 +0530,
,0,0,0,,,f_br_c,fabric,[-0.11574074074074074],[-0.30277777777777776],[1],[0],[0],[4.002873399993405],['text_3'],,,,,0,0,0,4,6.397782299987739,,,,,,,,6.388191700010793,6.397782299987739,6.397782299987739,6.397782299987739,0.009947900020051748,10.391897099994821,fabric,[-0.11574074074074074],[-0.30277777777777776],[1],[0],[0],[4.002873399993405],['text_3'],257120,001,2024-11-07_13h31.41.708,Priming_exp,2024.2.1post4,60.02883784966377,2024-11-07 13h31.48.329182 +0530,
,1,1,0,,,t_t_r_al,tutorial,[-0.07222222222222222],[-0.29074074074074074],[1],[0],[0],[3.8104049999965355],['text_3'],,,,,0,1,1,7,10.407468299992615,,,,,,,,10.394598399987444,10.407468299992615,10.407468299992615,10.407468299992615,0.00258689999463968,14.205840399983572,tutorial,[-0.07222222222222222],[-0.29074074074074074],[1],[0],[0],[3.8104049999965355],['text_3'],257120,001,2024-11-07_13h31.41.708,Priming_exp,2024.2.1post4,60.02883784966377,2024-11-07 13h31.48.329182 +0530,
,2,2,0,,,t_m_t_,tomato,[-0.03611111111111111],[-0.30092592592592593],[1],[0],[0],[3.8595616000238806],['text_3'],,,,,0,2,2,9,14.220660299994051,,,,,,,,14.208748800010653,14.220660299994051,14.220660299994051,14.220660299994051,0.0027889999910257757,18.069297499983804,tomato,[-0.03611111111111111],[-0.30092592592592593],[1],[0],[0],[3.8595616000238806],['text_3'],257120,001,2024-11-07_13h31.41.708,Priming_exp,2024.2.1post4,60.02883784966377,2024-11-07 13h31.48.329182 +0530,
,3,3,0,,,t_g_r,tiger,[0.000925925925925926],[-0.30185185185185187],[1],[0],[0],[3.493100499996217],['text_3'],,,,,0,3,3,1,18.084025399992242,,,,,,,,18.07242869999027,18.084025399992242,18.084025399992242,18.084025399992242,0.0029101999825797975,21.566339499986498,tiger,[0.000925925925925926],[-0.30185185185185187],[1],[0],[0],[3.493100499996217],['text_3'],257120,001,2024-11-07_13h31.41.708,Priming_exp,2024.2.1post4,60.02883784966377,2024-11-07 13h31.48.329182 +0530,
,4,4,0,,,c_s_h_o_n,,[0.009259259259259259],[-0.30277777777777776],[1],[0],[0],[1.9289696000050753],['text_3'],,,,,0,4,4,3,21.58116929998505,,,,,,,,21.568479500012472,21.58116929998505,21.58116929998505,21.58116929998505,0.00205060001462698,23.498253300000215,,[0.009259259259259259],[-0.30277777777777776],[1],[0],[0],[1.9289696000050753],['text_3'],257120,001,2024-11-07_13h31.41.708,Priming_exp,2024.2.1post4,60.02883784966377,2024-11-07 13h31.48.329182 +0530,
